Year,Topic,Geography,Category,Value,Unit
2020,Sanitation,South Africa,Other,0.2,%
2020,Sanitation,South Africa,Pit latrine with ventilation pipe,3189779,count
2020,Sanitation,South Africa,Pit latrine with ventilation pipe,18.3,%
2020,Sanitation,South Africa,Pit latrine without ventilation pipe,2453685,count
2020,Sanitation,South Africa,Pit latrine without ventilation pipe,14.1,%
2020,Water_Source,South Africa,Borehole on site,325,thousands
2020,Water_Source,South Africa,Borehole on site,1.9,%
2020,Water_Source,South Africa,Borehole outside yard,189,thousands
2020,Water_Source,South Africa,Borehole outside yard,1.1,%
2020,Water_Source,South Africa,Flowing water/stream/river,327,thousands
2020,Water_Source,South Africa,Flowing water/stream/river,1.9,%
2020,Water_Source,South Africa,Municipal Water-carrier/tanker,306,thousands
2020,Water_Source,South Africa,Municipal Water-carrier/tanker,1.8,%
2020,Water_Source,South Africa,Neighbours tap,288,thousands
2020,Water_Source,South Africa,Neighbours tap,1.7,%
2020,Water_Source,South Africa,Other,56,thousands
2020,Water_Source,South Africa,Other,0.3,%
2020,Water_Source,South Africa,Piped (tap) water in dwelling,8122,thousands
2020,Water_Source,South Africa,Piped (tap) water in dwelling,46.6,%
2020,Water_Source,South Africa,Piped (tap) water on site or in yard,4936,thousands
2020,Water_Source,South Africa,Piped (tap) water on site or in yard,28.3,%
2020,Water_Source,South Africa,Public or communal tap,2179,thousands
2020,Water_Source,South Africa,Public or communal tap,12.5,%
2020,Water_Source,South Africa,Rain-water tank on site,212,thousands
2020,Water_Source,South Africa,Rain-water tank on site,1.2,%
2020,Water_Source,South Africa,Spring,101,thousands
2020,Water_Source,South Africa,Spring,0.6,%
2020,Water_Source,South Africa,Stagnant water/dam/pool,26,thousands
2020,Water_Source,South Africa,Stagnant water/dam/pool,0.2,%
2020,Water_Source,South Africa,Water vendor,309,thousands
2020,Water_Source,South Africa,Water vendor,1.8,%
2020,Water_Source,South Africa,Well,43,thousands
2020,Water_Source,South Africa,Well,0.2,%
2019,Sanitation,South Africa,Bucket toilet,187393,count
2019,Sanitation,South Africa,Bucket toilet,1.1,%
2019,Sanitation,South Africa,Chemical toilet,112924,count
2019,Sanitation,South Africa,Chemical toilet,0.7,%
2019,Sanitation,South Africa,Flush toilet connected to public sewerage,10289086,count
2019,Sanitation,South Africa,Flush toilet connected to public sewerage,60.0,%
2019,Sanitation,South Africa,Flush toilet connected to septic tank,721043,count
2019,Sanitation,South Africa,Flush toilet connected to septic tank,4.2,%
2019,Sanitation,South Africa,None,230638,count
2019,Sanitation,South Africa,None,1.3,%
2019,Sanitation,South Africa,Other,90142,count
2019,Sanitation,South Africa,Other,0.5,%
2019,Sanitation,South Africa,Pit latrine with ventilation pipe,3069927,count
2019,Sanitation,South Africa,Pit latrine with ventilation pipe,17.9,%
2019,Sanitation,South Africa,Pit latrine without ventilation pipe,2457344,count
2019,Sanitation,South Africa,Pit latrine without ventilation pipe,14.3,%
2019,Water_Source,South Africa,Borehole on site,373,thousands
2019,Water_Source,South Africa,Borehole on site,2.2,%
2019,Water_Source,South Africa,Borehole outside yard,234,thousands
2019,Water_Source,South Africa,Borehole outside yard,1.4,%
2019,Water_Source,South Africa,Flowing water/stream/river,266,thousands
2019,Water_Source,South Africa,Flowing water/stream/river,1.6,%
2019,Water_Source,South Africa,Municipal Water-carrier/tanker,285,thousands
2019,Water_Source,South Africa,Municipal Water-carrier/tanker,1.7,%
2019,Water_Source,South Africa,Neighbours tap,433,thousands
2019,Water_Source,South Africa,Neighbours tap,2.5,%
2019,Water_Source,South Africa,Other,77,thousands
2019,Water_Source,South Africa,Other,0.4,%
2019,Water_Source,South Africa,Piped (tap) water in dwelling,7708,thousands
2019,Water_Source,South Africa,Piped (tap) water in dwelling,44.9,%
2019,Water_Source,South Africa,Piped (tap) water on site or in yard,4898,thousands
2019,Water_Source,South Africa,Piped (tap) water on site or in yard,28.5,%
2019,Water_Source,South Africa,Public or communal tap,2095,thousands
2019,Water_Source,South Africa,Public or communal tap,12.2,%
2019,Water_Source,South Africa,Rain-water tank on site,244,thousands
2019,Water_Source,South Africa,Rain-water tank on site,1.4,%
2019,Water_Source,South Africa,Spring,160,thousands
2019,Water_Source,South Africa,Spring,0.9,%
2019,Water_Source,South Africa,Stagnant water/dam/pool,19,thousands
2019,Water_Source,South Africa,Stagnant water/dam/pool,0.1,%
2019,Water_Source,South Africa,Water vendor,290,thousands
2019,Water_Source,South Africa,Water vendor,1.7,%
2019,Water_Source,South Africa,Well,81,thousands
2019,Water_Source,South Africa,Well,0.5,%
2018,Sanitation,South Africa,Bucket toilet,225568,count
2018,Sanitation,South Africa,Bucket toilet,1.4,%
2018,Sanitation,South Africa,Chemical toilet,56562,count
2018,Sanitation,South Africa,Chemical toilet,0.3,%
2018,Sanitation,South Africa,Flush toilet connected to public sewerage,10224841,count
2018,Sanitation,South Africa,Flush toilet connected to public sewerage,61.5,%
2018,Sanitation,South Africa,Flush toilet connected to septic tank,706108,count
2018,Sanitation,South Africa,Flush toilet connected to septic tank,4.2,%
2018,Sanitation,South Africa,None,232359,count
2018,Sanitation,South Africa,None,1.4,%
2018,Sanitation,South Africa,Other,93823,count
2018,Sanitation,South Africa,Other,0.6,%
2018,Sanitation,South Africa,Pit latrine with ventilation pipe,2867005,count
2018,Sanitation,South Africa,Pit latrine with ventilation pipe,17.2,%
2018,Sanitation,South Africa,Pit latrine without ventilation pipe,2224969,count
2018,Sanitation,South Africa,Pit latrine without ventilation pipe,13.4,%
2018,Water_Source,South Africa,Borehole on site,353,thousands
2018,Water_Source,South Africa,Borehole on site,2.1,%
2018,Water_Source,South Africa,Borehole outside yard,257,thousands
2018,Water_Source,South Africa,Borehole outside yard,1.5,%
2018,Water_Source,South Africa,Flowing water/stream/river,279,thousands
2018,Water_Source,South Africa,Flowing water/stream/river,1.7,%
2018,Water_Source,South Africa,Municipal Water-carrier/tanker,294,thousands
2018,Water_Source,South Africa,Municipal Water-carrier/tanker,1.8,%
2018,Water_Source,South Africa,Neighbours tap,314,thousands
2018,Water_Source,South Africa,Neighbours tap,1.9,%
2018,Water_Source,South Africa,Other,65,thousands
2018,Water_Source,South Africa,Other,0.4,%
2018,Water_Source,South Africa,Piped (tap) water in dwelling,7722,thousands
2018,Water_Source,South Africa,Piped (tap) water in dwelling,46.3,%
2018,Water_Source,South Africa,Piped (tap) water on site or in yard,4758,thousands
2018,Water_Source,South Africa,Piped (tap) water on site or in yard,28.5,%
2018,Water_Source,South Africa,Public or communal tap,2044,thousands
2018,Water_Source,South Africa,Public or communal tap,12.3,%
2018,Water_Source,South Africa,Rain-water tank on site,205,thousands
2018,Water_Source,South Africa,Rain-water tank on site,1.2,%
2018,Water_Source,South Africa,Spring,104,thousands
2018,Water_Source,South Africa,Spring,0.6,%
2018,Water_Source,South Africa,Stagnant water/dam/pool,23,thousands
2018,Water_Source,South Africa,Stagnant water/dam/pool,0.1,%
2018,Water_Source,South Africa,Water vendor,212,thousands
2018,Water_Source,South Africa,Water vendor,1.3,%
2018,Water_Source,South Africa,Well,42,thousands
2018,Water_Source,South Africa,Well,0.2,%
2017,Sanitation,South Africa,Bucket toilet,238234,count
2017,Sanitation,South Africa,Bucket toilet,1.5,%
2017,Sanitation,South Africa,Chemical toilet,119132,count
2017,Sanitation,South Africa,Chemical toilet,0.7,%
2017,Sanitation,South Africa,Flush toilet connected to public sewerage,9858946,count
2017,Sanitation,South Africa,Flush toilet connected to public sewerage,61.0,%
2017,Sanitation,South Africa,Flush toilet connected to septic tank,655323,count
2017,Sanitation,South Africa,Flush toilet connected to septic tank,4.1,%
2017,Sanitation,South Africa,None,280791,count
2017,Sanitation,South Africa,None,1.7,%
2017,Sanitation,South Africa,Other,127667,count
2017,Sanitation,South Africa,Other,0.8,%
2017,Sanitation,South Africa,Pit latrine with ventilation pipe,2812056,count
2017,Sanitation,South Africa,Pit latrine with ventilation pipe,17.4,%
2017,Sanitation,South Africa,Pit latrine without ventilation pipe,2074002,count
2017,Sanitation,South Africa,Pit latrine without ventilation pipe,12.8,%
2017,Water_Source,South Africa,Borehole on site,324,thousands
2017,Water_Source,South Africa,Borehole on site,2.0,%
2017,Water_Source,South Africa,Borehole outside yard,266,thousands
2017,Water_Source,South Africa,Borehole outside yard,1.6,%
2017,Water_Source,South Africa,Flowing water/stream/river,263,thousands
2017,Water_Source,South Africa,Flowing water/stream/river,1.6,%
2017,Water_Source,South Africa,Municipal Water-carrier/tanker,323,thousands
2017,Water_Source,South Africa,Municipal Water-carrier/tanker,2.0,%
2017,Water_Source,South Africa,Neighbours tap,348,thousands
2017,Water_Source,South Africa,Neighbours tap,2.1,%
2017,Water_Source,South Africa,Other,89,thousands
2017,Water_Source,South Africa,Other,0.5,%
2017,Water_Source,South Africa,Piped (tap) water in dwelling,7561,thousands
2017,Water_Source,South Africa,Piped (tap) water in dwelling,46.7,%
2017,Water_Source,South Africa,Piped (tap) water on site or in yard,4463,thousands
2017,Water_Source,South Africa,Piped (tap) water on site or in yard,27.5,%
2017,Water_Source,South Africa,Public or communal tap,1984,thousands
2017,Water_Source,South Africa,Public or communal tap,12.2,%
2017,Water_Source,South Africa,Rain-water tank on site,184,thousands
2017,Water_Source,South Africa,Rain-water tank on site,1.1,%
2017,Water_Source,South Africa,Spring,125,thousands
2017,Water_Source,South Africa,Spring,0.8,%
2017,Water_Source,South Africa,Stagnant water/dam/pool,29,thousands
2017,Water_Source,South Africa,Stagnant water/dam/pool,0.2,%
2017,Water_Source,South Africa,Water vendor,172,thousands
2017,Water_Source,South Africa,Water vendor,1.1,%
2017,Water_Source,South Africa,Well,69,thousands
2017,Water_Source,South Africa,Well,0.4,%
