Financial_Year,Municipality,Province,Item_Label,Item_Category,Value_ZAR,Municipality_Type
2019,City of Cape Town,Western Cape,Total Direct Operating Expenditure,Summary - Expenditure,278070841631,Metro
2019,City of Cape Town,Western Cape,Total Direct Operating Revenue,Summary - Revenue,309977853317,Metro
2019,City of Cape Town,Western Cape,Total Indirect Operating Expenditure,Summary - Expenditure,148792836304,Metro
2019,City of Cape Town,Western Cape,Total Indirect Operating Revenue,Summary - Revenue,148794688601,Metro
2019,City of Cape Town,Western Cape,Total Operating Expenditure,Summary - Expenditure,426863677935,Metro
2019,City of Cape Town,Western Cape,Total Operating Revenue,Summary - Revenue,458772541918,Metro
2019,City of Cape Town,Western Cape,Total Operating Revenue Generated,Other,320364983120,Metro
2019,City of Cape Town,Western Cape,Transfers Recognised - Capital,Other,14656954204,Metro
2019,City of Cape Town,Western Cape,Transfers Recognised - Operating,Other,49405599984,Metro
2019,City of Ekurhuleni,Gauteng,Agency Services,Expenditure - Operating,305156458,Metro
2019,City of Ekurhuleni,Gauteng,Asset Financing Reserve (Afr),Reserve - Asset,0,Metro
2019,City of Ekurhuleni,Gauteng,Bulk Purchases,Expenditure - Operating,98561402944,Metro
2019,City of Ekurhuleni,Gauteng,Change To Unappropriated Surplus / (Accumulated Deficit),Summary - Surplus/Deficit,11564995821,Metro
2019,City of Ekurhuleni,Gauteng,Collection Costs,Expenditure - Operating,0,Metro
2019,City of Ekurhuleni,Gauteng,Contracted Services,Expenditure - Operating,28002238556,Metro
2019,City of Ekurhuleni,Gauteng,Contributed Assets,Revenue - Other,0,Metro
2019,City of Ekurhuleni,Gauteng,Contributions To/(From) Provisions,Expenditure - Operating,0,Metro
2019,City of Ekurhuleni,Gauteng,Cross Subsidisation,Expenditure - Internal,0,Metro
2019,City of Ekurhuleni,Gauteng,Debt Impairment,Expenditure - Operating,13881868994,Metro
2019,City of Ekurhuleni,Gauteng,Depreciation and Asset Impairment,Expenditure - Operating,17335960568,Metro
2019,City of Ekurhuleni,Gauteng,Depreciation Reserve Ex Afr,Reserve - Asset,0,Metro
2019,City of Ekurhuleni,Gauteng,Depreciation Reserve Ex Donations And Contributions,Reserve - Asset,0,Metro
2019,City of Ekurhuleni,Gauteng,Depreciation Reserve Ex Govt Grants,Reserve - Asset,0,Metro
2019,City of Ekurhuleni,Gauteng,Dividends Paid (Municipal Entities Only),Expenditure - Finance Charges,0,Metro
2019,City of Ekurhuleni,Gauteng,Dividends Received,Revenue - Financial,918913,Metro
2019,City of Ekurhuleni,Gauteng,Dividends Received - Internal (From Municipal Entities),Revenue - Financial,0,Metro
2019,City of Ekurhuleni,Gauteng,Employee Related Costs - Social Contributions,Expenditure - Employee Costs,10999971764,Metro
2019,City of Ekurhuleni,Gauteng,Employee Related Costs - Wages & Salaries,Expenditure - Employee Costs,51636040398,Metro
2019,City of Ekurhuleni,Gauteng,Fines,Revenue - Other,1877133405,Metro
2019,City of Ekurhuleni,Gauteng,"Gain On Disposal Of Property, Plant & Equipment",Revenue - Other,0,Metro
2019,City of Ekurhuleni,Gauteng,Grants and Subsidies,Expenditure - Transfers,7275850211,Metro
2019,City of Ekurhuleni,Gauteng,Housing Development Fund,Reserve - Fund,0,Metro
2019,City of Ekurhuleni,Gauteng,Interest - Internal Borrowings,Expenditure - Finance Charges,0,Metro
2019,City of Ekurhuleni,Gauteng,Interest Earned - External Investments,Revenue - Financial,2930685865,Metro
2019,City of Ekurhuleni,Gauteng,Interest Earned - Outstanding Debtors,Revenue - Financial,3533949915,Metro
2019,City of Ekurhuleni,Gauteng,Interest Expense - External Borrowings,Expenditure - Finance Charges,6605969152,Metro
2019,City of Ekurhuleni,Gauteng,Interest Received - Internal Loans,Revenue - Financial,0,Metro
2019,City of Ekurhuleni,Gauteng,Internal Charges (Activity Based Costing Etc),Expenditure - Internal,0,Metro
2019,City of Ekurhuleni,Gauteng,Internal Recoveries (Activity Based Costing Etc),Expenditure - Internal,0,Metro
2019,City of Ekurhuleni,Gauteng,INTERNAL TRANSFERS - (must net out with corresp. items under,Expenditure - Internal,0,Metro
2019,City of Ekurhuleni,Gauteng,INTERNAL TRANSFERS – (must net out with corresp. items under,Other,0,Metro
2019,City of Ekurhuleni,Gauteng,Less Employee Costs Allocated To Other Operating Items,Expenditure - Employee Costs,0,Metro
2019,City of Ekurhuleni,Gauteng,Less Employee Costs Capitalised,Expenditure - Employee Costs,0,Metro
2019,City of Ekurhuleni,Gauteng,Less Revenue Foregone,Revenue - Other,0,Metro
2019,City of Ekurhuleni,Gauteng,Licenses and Permits,Revenue - Other,2071437320,Metro
2019,City of Ekurhuleni,Gauteng,"Loss On Disposal Of Property, Plant & Equipment",Expenditure - Operating,84806418,Metro
2019,City of Ekurhuleni,Gauteng,OPERATING EXPENDITURE,Summary - Expenditure,0,Metro
2019,City of Ekurhuleni,Gauteng,OPERATING REVENUE,Summary - Revenue,0,Metro
2019,City of Ekurhuleni,Gauteng,Operating Surplus / (Deficit) - After Tax,Summary - Surplus/Deficit,11564995821,Metro
2019,City of Ekurhuleni,Gauteng,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Summary - Surplus/Deficit,11732767263,Metro
2019,City of Ekurhuleni,Gauteng,Other,Expenditure - Operating,0,Metro
2019,City of Ekurhuleni,Gauteng,OTHER ADJUSTMENTS AND TRANSFERS,Other,0,Metro
2019,City of Ekurhuleni,Gauteng,Other Expenditure,Expenditure - Operating,10700215965,Metro
2019,City of Ekurhuleni,Gauteng,Other Materials,Expenditure - Operating,12428991089,Metro
2019,City of Ekurhuleni,Gauteng,Other Revenue,Revenue - Other,9065511553,Metro
2019,City of Ekurhuleni,Gauteng,Plus Interests In Entities Not Wholly Owned,Other,0,Metro
2019,City of Ekurhuleni,Gauteng,Property Rates,Revenue - Property Rates,40179185421,Metro
2019,City of Ekurhuleni,Gauteng,Property Rates - Penalties And Collection Charges,Revenue - Property Rates,0,Metro
2019,City of Ekurhuleni,Gauteng,Redemption Payments - External Borrowings (Gamap To Remove),Capital - Financing,0,Metro
2019,City of Ekurhuleni,Gauteng,Remuneration Of Councillors,Expenditure - Employee Costs,1048068295,Metro
2019,City of Ekurhuleni,Gauteng,Rent Of Facilities And Equipment,Revenue - Other,880913601,Metro
2019,City of Ekurhuleni,Gauteng,Revaluation Reserve,Reserve - Asset,0,Metro
2019,City of Ekurhuleni,Gauteng,Self-Insurance Reserve,Reserve - Fund,0,Metro
2019,City of Ekurhuleni,Gauteng,Service Charges,Revenue - Service Charges,151434025583,Metro
2019,City of Ekurhuleni,Gauteng,SURPLUS,Summary - Surplus/Deficit,0,Metro
2019,City of Ekurhuleni,Gauteng,"Surplus / (Deficit) After Tax, Cross Subsidies & Share Of As",Summary - Surplus/Deficit,11564995821,Metro
2019,City of Ekurhuleni,Gauteng,Taxation,Expenditure - Operating,167771442,Metro
2019,City of Ekurhuleni,Gauteng,Total Direct Operating Expenditure,Summary - Expenditure,258561384354,Metro
2019,City of Ekurhuleni,Gauteng,Total Direct Operating Revenue,Summary - Revenue,270294151617,Metro
2019,City of Ekurhuleni,Gauteng,Total Indirect Operating Expenditure,Summary - Expenditure,0,Metro
2019,City of Ekurhuleni,Gauteng,Total Indirect Operating Revenue,Summary - Revenue,0,Metro
2019,City of Ekurhuleni,Gauteng,Total Operating Expenditure,Summary - Expenditure,258561384354,Metro
2019,City of Ekurhuleni,Gauteng,Total Operating Revenue,Summary - Revenue,270294151617,Metro
2019,City of Ekurhuleni,Gauteng,Total Operating Revenue Generated,Other,270294151617,Metro
2019,City of Ekurhuleni,Gauteng,Transfers Recognised - Capital,Other,15379705000,Metro
2019,City of Ekurhuleni,Gauteng,Transfers Recognised - Operating,Other,42635528583,Metro
2019,City of Johannesburg,Gauteng,Agency Services,Expenditure - Operating,5151711130,Metro
2019,City of Johannesburg,Gauteng,Asset Financing Reserve (Afr),Reserve - Asset,0,Metro
2019,City of Johannesburg,Gauteng,Bulk Purchases,Expenditure - Operating,122039899668,Metro
2019,City of Johannesburg,Gauteng,Change To Unappropriated Surplus / (Accumulated Deficit),Summary - Surplus/Deficit,35570779427,Metro
2019,City of Johannesburg,Gauteng,Collection Costs,Expenditure - Operating,0,Metro
2019,City of Johannesburg,Gauteng,Contracted Services,Expenditure - Operating,25481336752,Metro
2019,City of Johannesburg,Gauteng,Contributed Assets,Revenue - Other,0,Metro
2019,City of Johannesburg,Gauteng,Contributions To/(From) Provisions,Expenditure - Operating,-533123752,Metro
2019,City of Johannesburg,Gauteng,Cross Subsidisation,Expenditure - Internal,0,Metro
2019,City of Johannesburg,Gauteng,Debt Impairment,Expenditure - Operating,25816192937,Metro
2019,City of Johannesburg,Gauteng,Depreciation and Asset Impairment,Expenditure - Operating,26971301604,Metro
2019,City of Johannesburg,Gauteng,Depreciation Reserve Ex Afr,Reserve - Asset,0,Metro
2019,City of Johannesburg,Gauteng,Depreciation Reserve Ex Donations And Contributions,Reserve - Asset,0,Metro
2019,City of Johannesburg,Gauteng,Depreciation Reserve Ex Govt Grants,Reserve - Asset,0,Metro
2019,City of Johannesburg,Gauteng,Dividends Paid (Municipal Entities Only),Expenditure - Finance Charges,0,Metro
2019,City of Johannesburg,Gauteng,Dividends Received,Revenue - Financial,0,Metro
2019,City of Johannesburg,Gauteng,Dividends Received - Internal (From Municipal Entities),Revenue - Financial,0,Metro
2019,City of Johannesburg,Gauteng,Employee Related Costs - Social Contributions,Expenditure - Employee Costs,80492613,Metro
2019,City of Johannesburg,Gauteng,Employee Related Costs - Wages & Salaries,Expenditure - Employee Costs,95215290417,Metro
2019,City of Johannesburg,Gauteng,Fines,Revenue - Other,3676430638,Metro
2019,City of Johannesburg,Gauteng,"Gain On Disposal Of Property, Plant & Equipment",Revenue - Other,96762000,Metro
2019,City of Johannesburg,Gauteng,Grants and Subsidies,Expenditure - Transfers,1865237286,Metro
2019,City of Johannesburg,Gauteng,Housing Development Fund,Reserve - Fund,0,Metro
2019,City of Johannesburg,Gauteng,Interest - Internal Borrowings,Expenditure - Finance Charges,0,Metro
2019,City of Johannesburg,Gauteng,Interest Earned - External Investments,Revenue - Financial,2920260072,Metro
2019,City of Johannesburg,Gauteng,Interest Earned - Outstanding Debtors,Revenue - Financial,2077185730,Metro
2019,City of Johannesburg,Gauteng,Interest Expense - External Borrowings,Expenditure - Finance Charges,17248908441,Metro
2019,City of Johannesburg,Gauteng,Interest Received - Internal Loans,Revenue - Financial,0,Metro
2019,City of Johannesburg,Gauteng,Internal Charges (Activity Based Costing Etc),Expenditure - Internal,6462856021,Metro
2019,City of Johannesburg,Gauteng,Internal Recoveries (Activity Based Costing Etc),Expenditure - Internal,6540024499,Metro
2019,City of Johannesburg,Gauteng,INTERNAL TRANSFERS - (must net out with corresp. items under,Expenditure - Internal,0,Metro
2019,City of Johannesburg,Gauteng,INTERNAL TRANSFERS – (must net out with corresp. items under,Other,0,Metro
2019,City of Johannesburg,Gauteng,Less Employee Costs Allocated To Other Operating Items,Expenditure - Employee Costs,0,Metro
2019,City of Johannesburg,Gauteng,Less Employee Costs Capitalised,Expenditure - Employee Costs,0,Metro
2019,City of Johannesburg,Gauteng,Less Revenue Foregone,Revenue - Other,0,Metro
2019,City of Johannesburg,Gauteng,Licenses and Permits,Revenue - Other,53687360,Metro
2019,City of Johannesburg,Gauteng,"Loss On Disposal Of Property, Plant & Equipment",Expenditure - Operating,119844697,Metro
2019,City of Johannesburg,Gauteng,OPERATING EXPENDITURE,Summary - Expenditure,0,Metro
2019,City of Johannesburg,Gauteng,OPERATING REVENUE,Summary - Revenue,0,Metro
2019,City of Johannesburg,Gauteng,Operating Surplus / (Deficit) - After Tax,Summary - Surplus/Deficit,35570779427,Metro
2019,City of Johannesburg,Gauteng,Operating Surplus / (Deficit) - Total Revenue Less Total Exp,Summary - Surplus/Deficit,36489804194,Metro
2019,City of Johannesburg,Gauteng,Other,Expenditure - Operating,0,Metro
2019,City of Johannesburg,Gauteng,OTHER ADJUSTMENTS AND TRANSFERS,Other,0,Metro
2019,City of Johannesburg,Gauteng,Other Expenditure,Expenditure - Operating,35673903042,Metro
2019,City of Johannesburg,Gauteng,Other Materials,Expenditure - Operating,13369926970,Metro
2019,City of Johannesburg,Gauteng,Other Revenue,Revenue - Other,12970591593,Metro
2019,City of Johannesburg,Gauteng,Plus Interests In Entities Not Wholly Owned,Other,0,Metro
